,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
18102,24023,M,20040830,기타,미혼,A04-00,A06-01
18103,27048,M,20040830,기타,,A04-00,A06-00
18104,7349,M,20040831,False,,A04-00,A06-00
18105,7398,F,20040831,기타,,A04-00,A06-00
18106,13932,M,20040831,기타,미혼,A04-00,A06-01
18107,25570,M,20040831,기타,미혼,A04-00,A06-01
18108,8524,M,20040901,기타,,A04-00,A06-00
18109,14902,M,20040901,기타,미혼,A04-00,A06-01
18110,7542,M,20040902,기타,미혼,A04-00,A06-01
18111,7543,M,20040902,기타,미혼,A04-00,A06-01
18112,10084,M,20040902,기타,미혼,A04-00,A06-01
18113,7567,M,20040903,False,,A04-00,A06-00
18114,10470,F,20040903,기타,,A04-00,A06-00
18115,24415,F,20040903,기타,미혼,A04-00,A06-01
18116,26758,M,20040903,기타,미혼,A04-00,A06-01
18117,6214,M,20040904,기타,미혼,A04-00,A06-01
18118,8841,F,20040904,기타,미혼,A04-00,A06-01
18119,10665,M,20040904,기타,미혼,A04-00,A06-01
18120,11822,F,20040904,기타,,A04-00,A06-00
18121,14968,M,20040904,기타,미혼,A04-00,A06-01
18122,23257,F,20040904,기타,미혼,A04-00,A06-01
18123,11579,M,20040905,기타,,A04-00,A06-00
18124,24735,M,20040905,기타,미혼,A04-00,A06-01
18125,6644,F,20040906,기타,미혼,A04-00,A06-01
18126,6671,F,20040906,기타,미혼,A04-00,A06-01
18127,8899,M,20040906,기타,,A04-00,A06-00
18128,11386,M,20040906,기타,미혼,A04-00,A06-01
18129,12611,M,20040906,기타,미혼,A04-00,A06-01
18130,13576,M,20040906,기타,미혼,A04-00,A06-01
18131,22074,M,20040906,기타,미혼,A04-00,A06-01
18132,28268,M,20040906,False,,A04-00,A06-00
18133,8931,F,20040907,기타,미혼,A04-00,A06-01
18134,8954,F,20040907,기타,미혼,A04-00,A06-01
18135,9039,F,20040907,기타,미혼,A04-00,A06-01
18136,9260,M,20040907,기타,미혼,A04-00,A06-01
18137,13330,M,20040907,기타,미혼,A04-00,A06-01
18138,14741,F,20040907,False,,A04-00,A06-00
18139,26123,F,20040907,기타,미혼,A04-00,A06-01
18140,27704,F,20040907,기타,미혼,A04-00,A06-01
18141,8563,M,20040908,기타,미혼,A04-00,A06-01
